ONS ID,ONS Neighbourhood Name,Cumulative Rate Excluding Cases Linked to Outbreaks in LTCH & RH,Cumulative Number of Cases Excluding Those Linked to Outbreaks in LTCH & RH,"Rate (per 100,000 population) in December 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in December 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in November 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in November 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in October 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in October 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in September 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in June 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in June 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in May 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in May 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in April 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in April 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in March 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in March 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in February 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in February 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in January 2021, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in January 2021, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in December 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in December 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in November 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in November 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in October 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in October 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in September 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2020 Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2020, Excluding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2020, Excluding Those Linked to Outbreaks in LTCH & RH",Population Estimate (Excluding LTCH Residents)
933,Lindenlea - New Edinburgh,2592,160,907,56,Suppressed,<5,113,7,113,7,Suppressed,<5,Suppressed,<5,Suppressed,<5,97,6,502,31,Suppressed,<5,Suppressed,<5,275,17,Suppressed,<5,Suppressed,<5,146,9,Suppressed,<5,Suppressed,<5,Suppressed,<5,6172
85,Marlborough,2300,46,681,14,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,312,6,350,7,Suppressed,<5,292,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,2003
65,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,2545,84,726,24,Suppressed,<5,272,9,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,424,14,Suppressed,<5,Suppressed,<5,Suppressed,<5,334,11,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,3306
66,Metcalfe,2953,163,1090,60,Suppressed,<5,Suppressed,<5,109,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,645,36,200,11,Suppressed,<5,219,12,290,16,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,5510
70,North Gower - Kars,2278,112,726,36,Suppressed,<5,Suppressed,<5,178,9,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,426,21,347,17,Suppressed,<5,186,9,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,4911
71,Notre-Dame Cemetery,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,0
82,Old Ottawa East,3838,336,1495,131,Suppressed,<5,91,8,68,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,194,17,757,66,240,21,114,10,171,15,126,11,80,7,114,10,148,13,Suppressed,<5,Suppressed,<5,8762
83,Old Ottawa South,2990,213,1533,109,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,84,6,305,22,337,24,Suppressed,<5,98,7,98,7,70,5,Suppressed,<5,112,8,Suppressed,<5,Suppressed,<5,7114
77,Orléans Industrial,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,0
939,Orléans Village - Chateauneuf,3384,389,1130,130,Suppressed,<5,Suppressed,<5,156,18,52,6,Suppressed,<5,52,6,132,15,574,66,209,24,Suppressed,<5,209,24,174,20,61,7,156,18,130,15,113,13,Suppressed,<5,11505
81,Osgoode - Vernon,2283,129,1100,62,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,101,6,256,14,124,7,142,8,136,8,159,9,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,5650
88,Qualicum - Redwood Park,3848,189,1425,70,Suppressed,<5,Suppressed,<5,122,6,102,5,Suppressed,<5,Suppressed,<5,224,11,590,29,122,6,Suppressed,<5,143,7,Suppressed,<5,122,6,407,20,Suppressed,<5,Suppressed,<5,122,6,4912
943,Queenswood Heights,2801,379,1153,156,Suppressed,<5,81,11,Suppressed,<5,Suppressed,<5,Suppressed,<5,52,7,154,21,495,67,44,6,37,5,170,23,140,19,67,9,163,22,37,5,Suppressed,<5,Suppressed,<5,13525
944,Richmond,3349,330,1279,126,Suppressed,<5,Suppressed,<5,84,8,Suppressed,<5,Suppressed,<5,91,9,153,15,583,57,201,20,Suppressed,<5,63,6,404,40,97,10,117,12,62,6,Suppressed,<5,Suppressed,<5,9845
90,Riverside Park,3441,173,936,47,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,179,9,417,21,278,14,Suppressed,<5,556,28,238,12,258,13,179,9,99,5,Suppressed,<5,Suppressed,<5,5033
947,Riverview,4815,327,766,52,Suppressed,<5,147,10,236,16,Suppressed,<5,Suppressed,<5,74,5,456,31,765,52,339,23,413,28,766,52,Suppressed,<5,131,9,192,13,177,12,88,6,Suppressed,<5,6786
97,South Keys - Greenboro West,3877,180,1172,54,Suppressed,<5,Suppressed,<5,260,12,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,881,41,144,7,153,7,369,17,151,7,112,5,Suppressed,<5,108,5,Suppressed,<5,129,6,4642
99,Tanglewood,3688,204,795,44,Suppressed,<5,Suppressed,<5,217,12,Suppressed,<5,Suppressed,<5,Suppressed,<5,307,17,744,41,253,14,90,5,452,25,199,11,Suppressed,<5,108,6,90,5,Suppressed,<5,Suppressed,<5,5537
954,Vanier South,5084,405,805,64,Suppressed,<5,176,14,238,19,113,9,Suppressed,<5,101,8,440,35,804,64,264,21,278,22,439,35,138,11,100,8,568,45,291,23,89,7,Suppressed,<5,7968
956,Wateridge Village,Suppressed,53,Suppressed,11,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,7,Suppressed,<5,Suppressed,14,Suppressed,<5,Suppressed,<5,Suppressed,5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,1041
